Index,Country,Month,HarvestYear
557,India,January,2018
558,Thailand,May,2018
559,Vietnam,December,2018
560,India,July,2018
561,Thailand,June,2018
562,Vietnam,January,2018
563,India,January,2018
564,Thailand,May,2018
565,Vietnam,December,2018
566,India,July,2018
567,Thailand,June,2018
568,Vietnam,January,2018
569,India,January,2018
570,Thailand,May,2018
571,Vietnam,December,2018
572,India,July,2018
573,Thailand,June,2018
574,Vietnam,January,2018
575,India,January,2018
576,Thailand,May,2018
577,Vietnam,December,2018
578,India,July,2018
579,Thailand,June,2018
580,Vietnam,January,2018
581,India,January,2018
582,Thailand,May,2018
583,Vietnam,December,2018
584,India,July,2018
585,Thailand,June,2018
586,Vietnam,January,2018
587,India,January,2018
588,Thailand,May,2018
589,Vietnam,December,2018
590,India,July,2018
591,Thailand,June,2018
592,Vietnam,January,2018
593,India,January,2018
594,Thailand,May,2018
595,Vietnam,December,2018
596,India,July,2018
597,Thailand,June,2018
598,Vietnam,January,2018
599,Philippines,February,2018
600,Phillippines,July,2018
601,India,January,2018
602,Thailand,May,2018
603,Vietnam,December,2018
604,India,July,2018
605,Thailand,June,2018
606,Vietnam,January,2018
607,India,January,2018
608,Thailand,May,2018
609,Vietnam,December,2018
610,India,July,2018
611,Thailand,June,2018
612,Vietnam,January,2018
613,India,January,2018
614,Thailand,May,2018
615,Vietnam,December,2018
616,India,July,2018
617,Thailand,June,2018
618,Vietnam,January,2018
619,India,January,2018
620,Thailand,May,2018
621,Vietnam,December,2018
622,India,July,2018
623,Thailand,June,2018
624,Vietnam,January,2018
625,India,January,2018
626,Thailand,May,2018
627,Vietnam,December,2018
628,India,July,2018
629,Thailand,June,2018
630,Vietnam,January,2018
631,India,January,2018
632,Thailand,May,2018
633,Vietnam,December,2018
634,India,July,2018
635,Thailand,June,2018
636,Vietnam,January,2018
637,India,January,2018
638,Thailand,May,2018
639,Vietnam,December,2018
640,India,July,2018
641,Thailand,June,2018
642,Vietnam,January,2018
643,India,January,2018
644,Thailand,May,2018
645,Vietnam,December,2018
646,India,July,2018
647,Thailand,June,2018
648,Vietnam,January,2018
649,Philippines,February,2018
650,Phillippines,July,2018
651,India,January,2018
652,Thailand,May,2018
653,Vietnam,December,2018
654,India,July,2018
655,Thailand,June,2018
656,Vietnam,January,2018
657,India,January,2018
658,Thailand,May,2018
659,Vietnam,December,2018
660,India,July,2018
661,Thailand,June,2018
662,Vietnam,January,2018
663,India,January,2018
664,Thailand,May,2018
665,Vietnam,December,2018
666,India,July,2018
667,Thailand,June,2018
668,Vietnam,January,2018
669,India,January,2018
670,Thailand,May,2018
671,Vietnam,December,2018
672,India,July,2018
673,Thailand,June,2018
674,Vietnam,January,2018
675,India,January,2018
676,Thailand,May,2018
677,Vietnam,December,2018
678,India,July,2018
679,Thailand,June,2018
680,Vietnam,January,2018
681,India,January,2018
682,Thailand,May,2018
683,Vietnam,December,2018
684,India,July,2018
685,Thailand,June,2018
686,Vietnam,January,2018
687,India,January,2018
688,Thailand,May,2018
689,Vietnam,December,2018
690,India,July,2018
691,Thailand,June,2018
692,Vietnam,January,2018
693,India,January,2018
694,Thailand,May,2018
695,Vietnam,December,2018
696,India,July,2018
697,Thailand,June,2018
698,Vietnam,January,2018
699,Philippines,February,2018
700,Phillippines,July,2018
701,India,January,2018
702,Thailand,May,2018
703,Vietnam,December,2018
704,India,July,2018
705,Thailand,June,2018
706,Vietnam,January,2018
707,India,January,2018
708,Thailand,May,2018
709,Vietnam,December,2018
710,India,July,2018
711,Thailand,June,2018
712,Vietnam,January,2018
713,India,January,2018
714,Thailand,May,2018
715,Vietnam,December,2018
716,India,July,2018
717,Thailand,June,2018
718,Vietnam,January,2018
719,India,January,2018
720,Thailand,May,2018
721,Vietnam,December,2018
722,India,July,2018
723,Thailand,June,2018
724,Vietnam,January,2018
725,India,January,2018
726,Thailand,May,2018
727,Vietnam,December,2018
728,India,July,2018
729,Thailand,June,2018
730,Vietnam,January,2018
731,India,January,2018
732,Thailand,May,2018
733,Vietnam,December,2018
734,India,July,2018
735,Thailand,June,2018
736,Vietnam,January,2018
737,India,January,2018
738,Thailand,May,2018
739,Vietnam,December,2018
740,India,July,2018
741,Thailand,June,2018
742,Vietnam,January,2018
743,India,January,2018
744,Thailand,May,2018
745,Vietnam,December,2018
746,India,July,2018
747,Thailand,June,2018
748,Vietnam,January,2018
749,Philippines,February,2018
750,Phillippines,July,2018
751,India,January,2018
752,Thailand,May,2018
753,Vietnam,December,2018
754,India,July,2018
755,Thailand,June,2018
756,Vietnam,January,2018
757,India,January,2018
758,Thailand,May,2018
759,Vietnam,December,2018
760,India,July,2018
761,Thailand,June,2018
762,Vietnam,January,2018
763,India,January,2018
764,Thailand,May,2018
765,Vietnam,December,2018
766,India,July,2018
767,Thailand,June,2018
768,Vietnam,January,2018
769,India,January,2018
770,Thailand,May,2018
771,Vietnam,December,2018
772,India,July,2018
773,Thailand,June,2018
774,Vietnam,January,2018
775,India,January,2018
776,Thailand,May,2018
777,Vietnam,December,2018
778,India,July,2018
779,Thailand,June,2018
780,Vietnam,January,2018
781,India,January,2018
782,Thailand,May,2018
783,Vietnam,December,2018
784,India,July,2018
785,Thailand,June,2018
786,Vietnam,January,2018
787,India,January,2018
788,Thailand,May,2018
789,Vietnam,December,2018
790,India,July,2018
791,Thailand,June,2018
792,Vietnam,January,2018
793,India,January,2018
794,Thailand,May,2018
795,Vietnam,December,2018
796,India,July,2018
797,Thailand,June,2018
798,Vietnam,January,2018
799,Philippines,February,2018
800,Phillippines,July,2018
801,India,January,2018
802,Thailand,May,2018
803,Vietnam,December,2018
804,India,July,2018
805,Thailand,June,2018
806,Vietnam,January,2018
807,India,January,2018
808,Thailand,May,2018
809,Vietnam,December,2018
810,India,July,2018
811,Thailand,June,2018
812,Vietnam,January,2018
813,India,January,2018
814,Thailand,May,2018
815,Vietnam,December,2018
816,India,July,2018
817,Thailand,June,2018
818,Vietnam,January,2018
819,India,January,2018
820,Thailand,May,2018
821,Vietnam,December,2018
822,India,July,2018
823,Thailand,June,2018
824,Vietnam,January,2018
825,India,January,2018
826,Thailand,May,2018
827,Vietnam,December,2018
828,India,July,2018
829,Thailand,June,2018
830,Vietnam,January,2018
831,India,January,2018
832,Thailand,May,2018
833,Vietnam,December,2018
834,India,July,2018
835,Thailand,June,2018
836,Vietnam,January,2018
837,India,January,2018
838,Thailand,May,2018
839,Vietnam,December,2018
840,India,July,2018
841,Thailand,June,2018
842,Vietnam,January,2018
843,India,January,2018
844,Thailand,May,2018
845,Vietnam,December,2018
846,India,July,2018
847,Thailand,June,2018
848,Vietnam,January,2018
849,Philippines,February,2018
850,Phillippines,July,2018
851,India,January,2018
852,Thailand,May,2018
853,Vietnam,December,2018
854,India,July,2018
855,Thailand,June,2018
856,Vietnam,January,2018
857,India,January,2018
858,Thailand,May,2018
859,Vietnam,December,2018
860,India,July,2018
861,Thailand,June,2018
862,Vietnam,January,2018
863,India,January,2018
864,Thailand,May,2018
865,Vietnam,December,2018
866,India,July,2018
867,Thailand,June,2018
868,Vietnam,January,2018
869,India,January,2018
870,Thailand,May,2018
871,Vietnam,December,2018
872,India,July,2018
873,Thailand,June,2018
874,Vietnam,January,2018
875,India,January,2018
876,Thailand,May,2018
877,Vietnam,December,2018
878,India,July,2018
879,Thailand,June,2018
880,Vietnam,January,2018
881,India,January,2018
882,Thailand,May,2018
883,Vietnam,December,2018
884,India,July,2018
885,Thailand,June,2018
886,Vietnam,January,2018
887,India,January,2018
888,Thailand,May,2018
889,Vietnam,December,2018
890,India,July,2018
891,Thailand,June,2018
892,Vietnam,January,2018
893,India,January,2018
894,Thailand,May,2018
895,Vietnam,December,2018
896,India,July,2018
897,Thailand,June,2018
898,Vietnam,January,2018
899,Philippines,February,2018
900,Phillippines,July,2018
901,India,January,2018
902,Thailand,May,2018
903,Vietnam,December,2018
904,India,July,2018
905,Thailand,June,2018
906,Vietnam,January,2018
907,India,January,2018
908,Thailand,May,2018
909,Vietnam,December,2018
910,India,July,2018
911,Thailand,June,2018
912,Vietnam,January,2018
913,India,January,2018
914,Thailand,May,2018
915,Vietnam,December,2018
916,India,July,2018
917,Thailand,June,2018
918,Vietnam,January,2018
919,India,January,2018
920,Thailand,May,2018
921,Vietnam,December,2018
922,India,July,2018
923,Thailand,June,2018
924,Vietnam,January,2018
925,India,January,2018
926,Thailand,May,2018
927,Vietnam,December,2018
928,India,July,2018
929,Thailand,June,2018
930,Vietnam,January,2018
931,India,January,2018
932,Thailand,May,2018
933,Vietnam,December,2018
934,India,July,2018
935,Thailand,June,2018
936,Vietnam,January,2018
937,India,January,2018
938,Thailand,May,2018
939,Vietnam,December,2018
940,India,July,2018
941,Thailand,June,2018
942,Vietnam,January,2018
943,India,January,2018
944,Thailand,May,2018
945,Vietnam,December,2018
946,India,July,2018
947,Thailand,June,2018
948,Vietnam,January,2018
949,Philippines,February,2018
950,Phillippines,July,2018
951,India,January,2018
952,Thailand,May,2018
953,Vietnam,December,2018
954,India,July,2018
955,Thailand,June,2018
956,Vietnam,January,2018
957,India,January,2018
958,Thailand,May,2018
959,Vietnam,December,2018
960,India,July,2018
961,Thailand,June,2018
962,Vietnam,January,2018
963,India,January,2018
964,Thailand,May,2018
965,Vietnam,December,2018
966,India,July,2018
967,Thailand,June,2018
968,Vietnam,January,2018
969,India,January,2018
970,Thailand,May,2018
971,Vietnam,December,2018
972,India,July,2018
973,Thailand,June,2018
974,Vietnam,January,2018
975,India,January,2018
976,Thailand,May,2018
977,Vietnam,December,2018
978,India,July,2018
979,Thailand,June,2018
980,Vietnam,January,2018
981,India,January,2018
982,Thailand,May,2018
983,Vietnam,December,2018
984,India,July,2018
985,Thailand,June,2018
986,Vietnam,January,2018
987,India,January,2018
988,Thailand,May,2018
989,Vietnam,December,2018
990,India,July,2018
991,Thailand,June,2018
992,Vietnam,January,2018
993,India,January,2018
994,Thailand,May,2018
995,Vietnam,December,2018
996,India,July,2018
997,Thailand,June,2018
998,Vietnam,January,2018
999,Philippines,February,2018
1000,Phillippines,July,2018
1001,India,January,2018
1002,Thailand,May,2018
1003,Vietnam,December,2018
1004,India,July,2018
1005,Thailand,June,2018
1006,Vietnam,January,2018
1007,India,January,2018
1008,Thailand,May,2018
1009,Vietnam,December,2018
1010,India,July,2018
1011,Thailand,June,2018
1012,Vietnam,January,2018
1013,India,January,2018
1014,Thailand,May,2018
1015,Vietnam,December,2018
1016,India,July,2018
1017,Thailand,June,2018
1018,Vietnam,January,2018
1019,India,January,2018
1020,Thailand,May,2018
1021,Vietnam,December,2018
1022,India,July,2018
1023,Thailand,June,2018
1024,Vietnam,January,2018
1025,India,January,2018
1026,Thailand,May,2018
1027,Vietnam,December,2018
1028,India,July,2018
1029,Thailand,June,2018
1030,Vietnam,January,2018
1031,India,January,2018
1032,Thailand,May,2018
1033,Vietnam,December,2018
1034,India,July,2018
1035,Thailand,June,2018
1036,Vietnam,January,2018
1037,India,January,2018
1038,Thailand,May,2018
1039,Vietnam,December,2018
1040,India,July,2018
1041,Thailand,June,2018
1042,Vietnam,January,2018
1043,India,January,2018
1044,Thailand,May,2018
1045,Vietnam,December,2018
1046,India,July,2018
1047,Thailand,June,2018
1048,Vietnam,January,2018
1049,Philippines,February,2018
1050,Phillippines,July,2018
1051,India,January,2018
1052,Thailand,May,2018
1053,Vietnam,December,2018
1054,India,July,2018
1055,Thailand,June,2018
1056,Vietnam,January,2018
1057,India,January,2018
1058,Thailand,May,2018
1059,Vietnam,December,2018
1060,India,July,2018
1061,Thailand,June,2018
1062,Vietnam,January,2018
1063,India,January,2018
1064,Thailand,May,2018
1065,Vietnam,December,2018
1066,India,July,2018
1067,Thailand,June,2018
1068,Vietnam,January,2018
1069,India,January,2018
1070,Thailand,May,2018
1071,Vietnam,December,2018
1072,India,July,2018
1073,Thailand,June,2018
1074,Vietnam,January,2018
1075,India,January,2018
1076,Thailand,May,2018
1077,Vietnam,December,2018
1078,India,July,2018
1079,Thailand,June,2018
1080,Vietnam,January,2018
1081,India,January,2018
1082,Thailand,May,2018
1083,Vietnam,December,2018
1084,India,July,2018
1085,Thailand,June,2018
1086,Vietnam,January,2018
1087,India,January,2018
1088,Thailand,May,2018
1089,Vietnam,December,2018
1090,India,July,2018
1091,Thailand,June,2018
1092,Vietnam,January,2018
1093,India,January,2018
1094,Thailand,May,2018
1095,Vietnam,December,2018
1096,India,July,2018
1097,Thailand,June,2018
1098,Vietnam,January,2018
1099,Philippines,February,2018
1100,Phillippines,July,2018
1101,India,January,2018
1102,Thailand,May,2018
1103,Vietnam,December,2018
1104,India,July,2018
1105,Thailand,June,2018
1106,Vietnam,January,2018
1107,India,January,2018
1108,Thailand,May,2018
1109,Vietnam,December,2018
1110,India,July,2018
1111,Thailand,June,2018
1112,Vietnam,January,2018
1113,India,January,2018
1114,Thailand,May,2018
1115,Vietnam,December,2018
1116,India,July,2018
1117,Thailand,June,2018
1118,Vietnam,January,2018
1119,India,January,2018
1120,Thailand,May,2018
1121,Vietnam,December,2018
1122,India,July,2018
1123,Thailand,June,2018
1124,Vietnam,January,2018
1125,India,January,2018
1126,Thailand,May,2018
1127,Vietnam,December,2018
1128,India,July,2018
1129,Thailand,June,2018
1130,Vietnam,January,2018
1131,India,January,2018
1132,Thailand,May,2018
1133,Vietnam,December,2018
1134,India,July,2018
1135,Thailand,June,2018
1136,Vietnam,January,2018
1137,India,January,2018
1138,Thailand,May,2018
1139,Vietnam,December,2018
1140,India,July,2018
1141,Thailand,June,2018
1142,Vietnam,January,2018
1143,India,January,2018
1144,Thailand,May,2018
1145,Vietnam,December,2018
1146,India,July,2018
1147,Thailand,June,2018
1148,Vietnam,January,2018
1149,Philippines,February,2018
1150,Phillippines,July,2018
1151,India,January,2018
1152,Thailand,May,2018
1153,Vietnam,December,2018
1154,India,July,2018
1155,Thailand,June,2018
1156,Vietnam,January,2018
1157,India,January,2018
1158,Thailand,May,2018
1159,Vietnam,December,2018
1160,India,July,2018
1161,Thailand,June,2018
1162,Vietnam,January,2018
1163,India,January,2018
1164,Thailand,May,2018
1165,Vietnam,December,2018
1166,India,July,2018
1167,Thailand,June,2018
1168,Vietnam,January,2018
1169,India,January,2018
1170,Thailand,May,2018
1171,Vietnam,December,2018
1172,India,July,2018
1173,Thailand,June,2018
1174,Vietnam,January,2018
1175,India,January,2018
1176,Thailand,May,2018
1177,Vietnam,December,2018
1178,India,July,2018
1179,Thailand,June,2018
1180,Vietnam,January,2018
1181,India,January,2018
1182,Thailand,May,2018
1183,Vietnam,December,2018
1184,India,July,2018
1185,Thailand,June,2018
1186,Vietnam,January,2018
1187,India,January,2018
1188,Thailand,May,2018
1189,Vietnam,December,2018
1190,India,July,2018
1191,Thailand,June,2018
1192,Vietnam,January,2018
1193,India,January,2018
1194,Thailand,May,2018
1195,Vietnam,December,2018
1196,India,July,2018
1197,Thailand,June,2018
1198,Vietnam,January,2018
1199,Philippines,February,2018
1200,Phillippines,July,2018
1201,India,January,2018
1202,Thailand,May,2018
1203,Vietnam,December,2018
1204,India,July,2018
1205,Thailand,June,2018
1206,Vietnam,January,2018
1207,India,January,2018
1208,Thailand,May,2018
1209,Vietnam,December,2018
